run_name,block_size,n_layer,n_head,n_embd,batch_size,max_iters,dropout,best_val,final_val,final_train,tokens_per_iter,seconds,exit_code,approx_params
b64_l4_h4_e128_bs16_it1000_do01,64,4,4,128,16,1000,0.1,1.9387,1.9387,1.841,40960,299.22,0,794752
b64_l4_h4_e128_bs16_it1000_do02,64,4,4,128,16,1000,0.2,2.0067,2.0067,1.9444,40960,308.47,0,794752
b64_l4_h4_e128_bs16_it2000_do01,64,4,4,128,16,2000,0.1,1.6562,1.6562,1.4624,40960,620.01,0,794752
b64_l4_h4_e128_bs16_it2000_do02,64,4,4,128,16,2000,0.2,1.7393,1.7393,1.5539,40960,508.14,0,794752
b64_l4_h4_e128_bs8_it1000_do01,64,4,4,128,8,1000,0.1,1.9848,1.9848,1.9111,20480,268.20,0,794752
b64_l4_h4_e128_bs8_it1000_do02,64,4,4,128,8,1000,0.2,2.0698,2.0698,2.0234,20480,294.50,0,794752
b64_l4_h4_e128_bs8_it2000_do01,64,4,4,128,8,2000,0.1,1.6951,1.6951,1.5184,20480,585.82,0,794752
b64_l4_h4_e128_bs8_it2000_do02,64,4,4,128,8,2000,0.2,1.789,1.789,1.6101,20480,571.33,0,794752
b64_l4_h4_e256_bs16_it1000_do01,64,4,4,256,16,1000,0.1,1.6534,1.6534,1.4728,40960,248.00,0,3162368
b64_l4_h4_e256_bs16_it1000_do02,64,4,4,256,16,1000,0.2,1.7409,1.7409,1.5657,40960,255.59,0,3162368
b64_l4_h4_e256_bs16_it2000_do01,64,4,4,256,16,2000,0.1,1.506,1.5189,1.2284,40960,499.59,0,3162368
b64_l4_h4_e256_bs16_it2000_do02,64,4,4,256,16,2000,0.2,1.5409,1.5423,1.3002,40960,485.12,0,3162368
b64_l4_h4_e256_bs8_it1000_do01,64,4,4,256,8,1000,0.1,1.7369,1.7369,1.5606,20480,253.69,0,3162368
b64_l4_h4_e256_bs8_it1000_do02,64,4,4,256,8,1000,0.2,1.8309,1.8309,1.6565,20480,253.48,0,3162368
b64_l4_h4_e256_bs8_it2000_do01,64,4,4,256,8,2000,0.1,1.5355,1.5355,1.3019,20480,499.37,0,3162368
b64_l4_h4_e256_bs8_it2000_do02,64,4,4,256,8,2000,0.2,1.575,1.575,1.368,20480,490.67,0,3162368
b64_l4_h8_e128_bs16_it1000_do01,64,4,8,128,16,1000,0.1,1.9362,1.9362,1.839,40960,247.51,0,794752
b64_l4_h8_e128_bs16_it1000_do02,64,4,8,128,16,1000,0.2,2.0078,2.0078,1.9461,40960,243.78,0,794752
b64_l4_h8_e128_bs16_it2000_do01,64,4,8,128,16,2000,0.1,1.6558,1.6558,1.4578,40960,496.25,0,794752
b64_l4_h8_e128_bs16_it2000_do02,64,4,8,128,16,2000,0.2,1.7306,1.7306,1.5433,40960,489.57,0,794752
b64_l4_h8_e128_bs8_it1000_do01,64,4,8,128,8,1000,0.1,1.9878,1.9878,1.9177,20480,242.28,0,794752
b64_l4_h8_e128_bs8_it1000_do02,64,4,8,128,8,1000,0.2,2.0694,2.0694,2.0201,20480,234.54,0,794752
b64_l4_h8_e128_bs8_it2000_do01,64,4,8,128,8,2000,0.1,1.6953,1.6953,1.5042,20480,476.89,0,794752
b64_l4_h8_e128_bs8_it2000_do02,64,4,8,128,8,2000,0.2,1.7723,1.7723,1.5939,20480,474.72,0,794752
b64_l4_h8_e256_bs16_it1000_do01,64,4,8,256,16,1000,0.1,1.6749,1.6749,1.4933,40960,250.02,0,3162368
b64_l4_h8_e256_bs16_it1000_do02,64,4,8,256,16,1000,0.2,1.7585,1.7585,1.5835,40960,238.51,0,3162368
b64_l4_h8_e256_bs16_it2000_do01,64,4,8,256,16,2000,0.1,1.5196,1.5207,1.2348,40960,496.73,0,3162368
b64_l4_h8_e256_bs16_it2000_do02,64,4,8,256,16,2000,0.2,1.5522,1.5522,1.3116,40960,486.07,0,3162368
b64_l4_h8_e256_bs8_it1000_do01,64,4,8,256,8,1000,0.1,1.7519,1.7519,1.5747,20480,243.95,0,3162368
b64_l4_h8_e256_bs8_it1000_do02,64,4,8,256,8,1000,0.2,1.8454,1.8454,1.6757,20480,233.91,0,3162368
b64_l4_h8_e256_bs8_it2000_do01,64,4,8,256,8,2000,0.1,1.5517,1.5517,1.3099,20480,484.08,0,3162368
b64_l4_h8_e256_bs8_it2000_do02,64,4,8,256,8,2000,0.2,1.585,1.585,1.3776,20480,476.06,0,3162368
